distribution,true_alpha,trial_id,k,gamma_hat,alpha_hat
"Beta(2,5)",2.0,1,150,0.5596088192765827,1.7869625451806133
"Beta(2,5)",2.0,1,200,0.563716421585349,1.773941580746723
"Beta(2,5)",2.0,1,250,0.5920848081114944,1.6889472357677715
"Beta(2,5)",2.0,2,25,0.5817551105107275,1.718936339247784
"Beta(2,5)",2.0,2,50,0.49115101642027315,2.036033656793473
"Beta(2,5)",2.0,2,75,0.5181599862437779,1.9299058718315072
"Beta(2,5)",2.0,2,100,0.4940468654917107,2.0240994728399473
"Beta(2,5)",2.0,2,125,0.5288936108887705,1.8907394217138802
"Beta(2,5)",2.0,2,150,0.5416705341719608,1.8461406646914567
"Beta(2,5)",2.0,2,200,0.5666352350504464,1.76480377170857
"Beta(2,5)",2.0,2,250,0.5818402289917114,1.7186848728781274
"Beta(2,5)",2.0,3,25,0.5448246554355377,1.835452911360245
"Beta(2,5)",2.0,3,50,0.6595304520322364,1.5162302163890413
"Beta(2,5)",2.0,3,75,0.6132982444092456,1.6305280654492034
"Beta(2,5)",2.0,3,100,0.5758906805541225,1.736440671409718
"Beta(2,5)",2.0,3,125,0.5851588165674466,1.7089377647354271
"Beta(2,5)",2.0,3,150,0.5834145108899182,1.7140471848645624
"Beta(2,5)",2.0,3,200,0.5922123874327428,1.6885833886978079
"Beta(2,5)",2.0,3,250,0.6334896285614744,1.5785578088638892
"Beta(2,5)",2.0,4,25,0.4480479075109543,2.23190418532543
"Beta(2,5)",2.0,4,50,0.4200119012752817,2.380884915317164
"Beta(2,5)",2.0,4,75,0.5343887287591262,1.8712969532909933
"Beta(2,5)",2.0,4,100,0.5148473614670294,1.942323249264704
"Beta(2,5)",2.0,4,125,0.5787965939206267,1.7277226758130078
"Beta(2,5)",2.0,4,150,0.5890994651843892,1.6975062092222377
"Beta(2,5)",2.0,4,200,0.609279500096078,1.6412828592498334
"Beta(2,5)",2.0,4,250,0.6102318415905897,1.6387214364190936
"Beta(2,5)",2.0,5,25,0.44965806605985903,2.22391206892501
"Beta(2,5)",2.0,5,50,0.4684351991166968,2.1347669899393695
"Beta(2,5)",2.0,5,75,0.46221791517141325,2.1634816980842264
"Beta(2,5)",2.0,5,100,0.47522035008537145,2.1042869898571346
"Beta(2,5)",2.0,5,125,0.4809124841710574,2.0793804130988343
"Beta(2,5)",2.0,5,150,0.5060305920616011,1.9761651087653336
"Beta(2,5)",2.0,5,200,0.5432437109387789,1.8407944351015146
"Beta(2,5)",2.0,5,250,0.5555765605727984,1.799931946317177
"Beta(2,5)",2.0,6,25,0.39853881367484134,2.5091658972415094
"Beta(2,5)",2.0,6,50,0.4644378282797548,2.153140720048429
"Beta(2,5)",2.0,6,75,0.43861903696231425,2.2798828042794668
"Beta(2,5)",2.0,6,100,0.463168399758574,2.1590419392196205
"Beta(2,5)",2.0,6,125,0.4417906884998946,2.263515338893881
"Beta(2,5)",2.0,6,150,0.4965893492502578,2.013736302459533
"Beta(2,5)",2.0,6,200,0.5167097479187852,1.9353224978391095
"Beta(2,5)",2.0,6,250,0.5148989235276852,1.942128744703487
"Beta(2,5)",2.0,7,25,0.228621994895652,4.374032343022908
"Beta(2,5)",2.0,7,50,0.40637476496729974,2.4607827212904527
"Beta(2,5)",2.0,7,75,0.5093606654985121,1.9632454324310622
"Beta(2,5)",2.0,7,100,0.5046793150441745,1.9814562836055014
"Beta(2,5)",2.0,7,125,0.5365275587878411,1.863837157329377
"Beta(2,5)",2.0,7,150,0.5664381160229485,1.7654179189443642
"Beta(2,5)",2.0,7,200,0.5773250558033274,1.732126451031188
